districtid,timeid,cases
206,1,5
206,2,3
206,3,10
206,4,1
206,5,4
206,6,5
206,7,66
206,8,75
206,9,22
206,10,34
206,11,64
206,12,23
206,13,38
206,14,54
206,15,24
206,16,31
206,17,90
206,18,142
206,19,161
206,20,227
206,21,347
206,22,583
206,23,767
206,24,1209
206,25,1517
307,7,94
307,8,68
307,9,37
307,10,13
307,11,52
307,12,78
307,13,56
307,14,130
307,15,361
307,16,567
307,17,1197
307,18,1677
307,19,4912
307,20,6213
307,21,5168
307,22,4712
307,23,4336
307,24,4785
307,25,4762
429,7,81
429,8,80
429,9,29
429,10,29
429,11,60
429,12,70
429,13,139
429,14,317
429,15,270
429,16,429
429,17,617
429,18,853
429,19,2097
429,20,1952
429,21,2653
429,22,2228
429,23,1652
429,24,2009
429,25,2283
434,7,157
434,8,117
434,9,55
434,10,30
434,11,66
434,12,58
434,13,163
434,14,322
434,15,437
434,16,670
434,17,814
434,18,2513
434,19,4676
434,20,7724
434,21,7951
434,22,6714
434,23,5404
434,24,5098
434,25,4758
665,7,2
665,9,2
665,10,9
665,11,7
665,12,8
665,13,8
665,14,20
665,15,3
665,16,31
665,17,757
665,18,1184
665,19,2264
665,20,2727
665,21,3502
665,22,3431
665,23,4264
665,24,4014
665,25,4930
735,7,8
735,8,9
735,9,2
735,10,5
735,11,8
735,12,99
735,13,90
735,14,226
735,15,306
735,16,320
735,17,487
735,18,1333
735,19,4609
735,20,5251
735,21,4211
735,22,5674
735,23,6500
735,24,5796
735,25,6817
131,7,6
131,8,6
131,9,8
131,10,26
131,11,19
131,12,17
131,13,39
131,14,45
131,15,34
131,16,81
131,17,19
131,18,112
131,19,141
131,20,463
131,21,333
131,22,466
131,23,519
131,24,265
131,25,340
178,7,16
178,8,1
178,9,17
178,10,3
178,11,42
178,12,22
178,13,43
178,14,4
178,15,59
178,16,64
178,17,26
178,18,292
178,19,396
178,20,636
178,21,571
178,22,589
178,23,368
178,24,281
178,25,260
234,7,5
234,8,4
234,9,7
234,10,24
234,11,47
234,12,43
234,13,18
234,14,68
234,15,70
234,16,65
234,17,51
234,18,77
234,19,137
234,20,269
234,21,328
234,22,489
234,23,317
234,24,223
234,25,229
440,7,3
440,9,10
440,10,12
440,11,11
440,12,30
440,13,4
440,14,14
440,15,40
440,16,11
440,17,40
440,18,239
440,19,198
440,20,176
440,21,202
440,22,299
440,23,292
440,24,174
440,25,132
458,7,18
458,8,6
458,9,29
458,10,80
458,11,57
458,12,27
458,13,74
458,14,50
458,15,96
458,16,60
458,17,88
458,18,112
458,19,78
458,20,411
458,21,594
458,22,956
458,23,1067
458,24,568
458,25,662
495,7,27
495,8,9
495,9,21
495,10,15
495,11,15
495,12,27
495,13,86
495,14,28
495,15,37
495,16,63
495,17,121
495,18,309
495,19,53
495,20,244
495,21,351
495,22,466
495,23,271
495,24,124
495,25,120
508,7,2
508,8,3
508,9,28
508,10,16
508,11,26
508,12,11
508,13,24
508,14,21
508,15,35
508,16,147
508,17,103
508,18,534
508,19,441
508,20,841
508,21,733
508,22,674
508,23,550
508,24,295
508,25,254
518,7,1
518,8,1
518,9,30
518,10,23
518,11,28
518,12,39
518,13,55
518,14,20
518,15,53
518,16,86
518,17,145
518,18,355
518,19,198
518,20,371
518,21,219
518,22,225
518,23,154
518,24,112
518,25,179
553,7,11
553,8,8
553,9,54
553,10,90
553,11,44
553,12,33
553,13,44
553,14,79
553,15,168
553,16,401
553,17,726
553,18,1890
553,19,2313
553,20,3464
553,21,3344
553,22,3664
553,23,2317
553,24,1952
553,25,1683
575,7,1
575,8,1
575,9,27
575,10,7
575,11,36
575,12,64
575,13,84
575,14,35
575,15,33
575,16,22
575,17,53
575,18,126
575,19,328
575,20,467
575,21,569
575,22,803
575,23,728
575,24,485
575,25,583
599,7,37
599,8,7
599,9,18
599,10,77
599,11,52
599,12,24
599,13,52
599,14,27
599,15,16
599,16,45
599,17,46
599,18,332
599,19,677
599,20,753
599,21,677
599,22,735
599,23,439
599,24,282
599,25,248
615,7,4
615,8,1
615,9,2
615,10,19
615,11,38
615,12,34
615,13,46
615,14,36
615,15,17
615,16,62
615,17,68
615,18,277
