timeid,method,spot,districtid
1,neighborhood,hot,206
1,state,hot,206
2,neighborhood,cold,102
2,neighborhood,hot,103
2,state,hot,103
2,neighborhood,hot,104
2,state,hot,104
2,neighborhood,cold,105
2,neighborhood,hot,119
2,state,hot,119
2,neighborhood,hot,123
2,state,hot,123
2,neighborhood,cold,131
2,neighborhood,hot,132
2,neighborhood,hot,135
2,neighborhood,hot,147
2,neighborhood,hot,148
2,neighborhood,cold,149
2,neighborhood,hot,151
2,neighborhood,cold,153
2,neighborhood,cold,154
2,neighborhood,cold,159
2,neighborhood,cold,163
2,neighborhood,hot,165
2,state,hot,165
2,neighborhood,hot,169
2,state,hot,169
2,neighborhood,cold,173
2,neighborhood,cold,175
2,neighborhood,hot,179
2,state,hot,179
2,neighborhood,cold,192
2,neighborhood,cold,195
2,neighborhood,hot,196
2,state,hot,196
2,neighborhood,hot,206
2,state,hot,206
2,neighborhood,hot,212
2,state,hot,212
2,neighborhood,cold,226
2,neighborhood,hot,239
2,neighborhood,cold,240
2,state,hot,240
2,neighborhood,cold,244
2,neighborhood,hot,277
2,neighborhood,hot,278
2,neighborhood,cold,284
2,neighborhood,cold,294
2,neighborhood,hot,301
2,state,hot,301
2,neighborhood,hot,302
2,neighborhood,hot,303
2,neighborhood,hot,304
2,neighborhood,hot,323
2,neighborhood,cold,329
2,neighborhood,hot,333
2,neighborhood,hot,335
2,neighborhood,cold,336
2,neighborhood,hot,339
2,neighborhood,hot,344
2,state,cold,344
2,neighborhood,hot,350
2,neighborhood,hot,352
2,state,hot,352
2,neighborhood,hot,353
2,neighborhood,cold,356
2,neighborhood,hot,360
2,state,hot,360
2,neighborhood,cold,364
2,neighborhood,cold,367
2,neighborhood,hot,370
2,neighborhood,hot,380
2,neighborhood,hot,382
2,neighborhood,cold,387
2,state,hot,387
2,state,cold,392
2,neighborhood,cold,399
2,neighborhood,hot,402
2,neighborhood,hot,405
2,neighborhood,hot,419
2,state,hot,419
2,neighborhood,hot,426
2,state,hot,426
2,neighborhood,hot,429
2,neighborhood,cold,433
