timeid,method,spot,districtid
1,neighborhood,hot,206
1,state,hot,206
2,neighborhood,hot,206
2,state,hot,206
3,neighborhood,hot,206
3,state,hot,206
4,neighborhood,hot,206
4,state,hot,206
5,neighborhood,hot,206
5,state,hot,206
6,neighborhood,hot,206
6,state,hot,206
7,neighborhood,hot,103
7,state,hot,103
7,neighborhood,hot,104
7,state,hot,104
7,neighborhood,cold,105
7,neighborhood,hot,107
7,neighborhood,hot,109
7,neighborhood,hot,119
7,state,hot,119
7,neighborhood,cold,120
7,neighborhood,hot,123
7,state,hot,123
7,neighborhood,cold,125
7,neighborhood,hot,126
7,neighborhood,hot,128
7,neighborhood,cold,131
7,neighborhood,hot,132
7,neighborhood,hot,138
7,neighborhood,hot,141
7,neighborhood,hot,147
7,neighborhood,cold,153
7,neighborhood,cold,159
7,neighborhood,hot,161
7,neighborhood,cold,163
7,neighborhood,hot,165
7,state,hot,165
7,neighborhood,cold,167
7,neighborhood,hot,169
7,state,hot,169
7,neighborhood,cold,173
7,neighborhood,cold,174
7,neighborhood,cold,175
7,neighborhood,hot,179
7,state,hot,179
7,neighborhood,cold,180
7,state,cold,180
7,neighborhood,cold,191
7,state,hot,196
7,neighborhood,hot,206
7,state,hot,206
7,neighborhood,cold,207
7,neighborhood,hot,212
7,state,hot,212
7,neighborhood,cold,215
7,neighborhood,cold,216
7,neighborhood,cold,225
7,neighborhood,hot,231
7,neighborhood,cold,234
7,neighborhood,hot,239
7,neighborhood,cold,240
7,state,hot,240
7,neighborhood,cold,242
7,neighborhood,hot,245
7,state,hot,245
7,state,cold,250
7,neighborhood,cold,267
7,neighborhood,hot,282
7,state,hot,283
7,state,cold,284
7,neighborhood,hot,292
7,state,hot,292
7,neighborhood,cold,301
7,state,cold,301
7,neighborhood,cold,302
7,neighborhood,hot,303
7,neighborhood,hot,304
7,neighborhood,hot,307
7,state,hot,307
7,neighborhood,cold,308
7,neighborhood,cold,310
7,neighborhood,hot,323
7,neighborhood,hot,327
7,neighborhood,hot,332
7,state,hot,332
7,neighborhood,hot,333
