districtid,timeid,neighbormean,neighborstdev
102,2,7.33,4.5
102,3,6.0,5.55
102,4,2.8,2.71
102,5,14.8,10.65
102,6,21.6,13.6
102,7,29.2,17.79
103,2,1.0,0.0
103,3,6.75,6.91
103,4,19.88,22.83
103,5,11.5,7.3
103,6,27.12,16.8
103,7,32.5,23.2
104,2,4.5,3.35
104,3,4.17,4.18
104,4,8.67,4.71
104,5,25.33,16.27
104,6,22.5,12.2
104,7,21.33,12.8
105,2,31.8,23.14
105,3,156.5,189.38
105,4,502.17,612.15
105,5,925.33,1051.84
105,6,815.5,636.64
105,7,1482.17,1582.71
106,2,8.2,9.33
106,3,10.0,9.54
106,4,8.67,8.58
106,5,56.83,56.91
106,6,76.17,97.09
106,7,69.5,101.4
107,2,3.5,2.5
107,3,7.33,4.03
107,4,17.33,13.47
107,5,59.0,32.07
107,6,64.67,49.0
107,7,74.67,7.36
108,3,2.67,2.36
108,4,8.33,3.86
108,5,91.33,32.29
108,6,142.33,51.25
108,7,158.33,28.57
109,2,2.4,1.36
109,3,9.25,15.11
109,4,18.75,29.64
109,5,37.75,41.5
109,6,37.62,34.42
109,7,53.62,58.38
110,3,3.0,0.0
110,4,5.0,0.0
110,5,52.0,0.0
110,6,131.0,0.0
110,7,78.0,0.0
111,4,4.4,2.42
111,5,18.8,16.82
111,6,18.0,10.9
111,7,25.0,12.12
112,3,8.67,10.26
112,4,1.67,1.11
112,5,11.0,11.68
112,6,26.83,32.83
112,7,40.5,39.11
113,2,9.33,11.79
113,3,10.17,10.43
113,4,15.83,20.89
113,5,48.83,55.98
113,6,70.0,99.77
113,7,73.83,100.3
114,2,1.0,0.0
114,3,2.0,1.1
114,4,2.8,2.71
114,5,37.4,50.23
114,6,73.4,49.68
114,7,92.6,47.98
115,3,6.0,1.41
115,4,5.4,6.83
115,5,93.8,48.0
115,6,105.6,134.83
115,7,96.6,59.67
116,3,4.5,2.5
116,4,1.25,0.43
116,5,76.0,39.35
116,6,52.25,28.19
116,7,110.0,32.02
117,2,4.33,3.64
117,3,5.6,5.26
117,4,8.5,8.85
117,5,65.8,97.76
117,6,97.6,235.23
117,7,229.5,506.45
118,3,1.6,1.2
118,4,5.8,2.04
118,5,33.2,26.87
118,6,42.4,39.95
118,7,48.6,49.44
119,2,5.33,1.7
119,3,1.0,0.0
119,4,4.33,2.36
119,5,5.67,2.62
119,6,39.67,29.8
119,7,61.67,36.53
120,2,2.17,1.67
120,3,6.67,4.57
120,4,9.5,2.36
120,5,35.33,18.45
120,6,65.0,48.61
120,7,68.33,49.95
121,2,90.0,112.64
121,3,84.5,124.51
121,4,65.75,77.98
121,5,76.25,65.56
121,6,83.5,68.91
121,7,80.25,65.22
122,2,23.0,20.0
122,3,7.25,6.94
122,4,51.25,44.29
122,5,499.0,472.61
122,6,494.0,338.0
122,7,436.0,309.13
123,2,2.5,0.87
123,3,4.5,5.2
123,4,17.25,22.88
123,5,31.25,44.91
123,6,24.0,28.22
123,7,46.25,51.29
124,5,19.5,18.5
124,6,4.5,3.5
124,7,5.5,1.5
125,3,4.5,6.97
125,4,2.17,3.18
125,5,2.67,1.97
125,6,29.33,33.73
125,7,41.0,69.12
126,2,1.0,0.0
126,3,16.0,3.32
126,4,8.75,4.32
126,5,64.75,13.27
126,6,37.5,19.16
126,7,51.5,27.74
127,2,4.0,4.24
127,3,7.4,4.63
127,4,7.2,4.66
127,5,25.0,16.71
127,6,24.8,11.2
127,7,13.6,11.29
128,2,1.5,0.5
128,3,3.33,3.3
128,4,28.67,28.77
128,5,103.67,42.72
128,6,145.33,123.41
128,7,189.33,177.21
129,3,7.17,3.8
129,4,13.0,11.87
129,5,165.0,170.4
129,6,52.0,48.29
129,7,65.33,70.71
130,3,1.25,0.43
130,4,5.5,4.56
130,5,36.0,12.39
130,6,30.5,15.37
130,7,54.75,19.47
131,2,11.0,0.0
131,3,3.5,1.8
131,4,5.75,2.49
131,5,81.75,61.06
131,6,54.5,43.91
131,7,31.0,11.9
132,2,9.33,7.72
132,3,12.75,6.83
132,4,63.5,51.1
132,5,298.25,163.41
132,6,457.75,314.22
132,7,574.5,302.3
133,3,6.17,4.22
133,4,2.33,3.35
133,5,42.0,14.29
133,6,39.5,29.38
133,7,60.17,32.31
134,3,8.33,6.05
134,4,4.67,7.34
134,5,64.0,44.44
134,6,84.5,129.91
134,7,74.0,60.26
135,2,1.5,0.5
135,3,31.25,31.16
135,4,14.75,14.91
135,5,91.75,32.87
135,6,150.5,43.99
135,7,181.75,50.37
136,3,7.0,7.79
136,4,4.33,4.71
136,5,4.33,3.4
136,6,13.33,7.72
136,7,23.33,10.87
137,3,11.5,11.77
