districtid,timeid,statemean,statestdev
102,1,1403.63,2438.99
103,1,3562.72,4425.37
104,1,2425.38,4213.49
105,1,27105.97,45883.05
106,1,2691.28,3153.92
107,1,27740.81,45698.82
108,1,6178.92,4007.09
109,1,3531.9,4422.47
110,1,8471.79,11240.82
111,1,1394.04,2442.7
112,1,1930.83,1932.01
113,1,2561.76,2998.67
114,1,3314.67,3452.22
115,1,3591.54,4414.67
116,1,3583.96,4418.75
117,1,27694.65,45721.75
118,1,3530.88,6789.65
119,1,2939.06,2988.85
120,1,3578.81,4421.0
121,1,3555.35,6780.87
122,1,37241.9,13140.94
123,1,2059.8,2400.76
124,1,202.54,335.17
125,1,1398.33,2441.28
126,1,3793.34,3456.37
127,1,3568.62,6775.11
128,1,13024.44,25588.96
129,1,3855.63,3432.38
130,1,3585.21,4418.14
131,1,3811.89,3453.48
132,1,27087.23,45884.21
133,1,3548.84,4425.9
134,1,3555.22,4426.03
135,1,13390.79,27722.72
136,1,1967.17,1904.98
137,1,3591.68,4414.59
138,1,3572.38,4423.23
140,1,1401.02,2440.19
141,1,4738.27,5054.47
142,1,3542.85,4425.2
143,1,1782.32,3165.75
144,1,1764.09,3170.96
145,1,1795.41,3160.51
146,1,3589.38,4415.92
147,1,3590.15,4415.49
148,1,2076.13,2402.54
149,1,3844.54,3439.64
150,1,8449.84,11251.72
151,1,2822.66,3144.49
152,1,3545.15,4425.53
153,1,2817.86,3147.73
154,1,3499.59,4403.47
155,1,4690.73,5075.22
156,1,2764.0,3168.96
157,1,3147.81,2982.74
159,1,1383.59,2444.59
160,1,1766.36,3170.44
161,1,3567.28,4424.54
162,1,3049.69,3016.36
163,1,3736.37,3442.83
164,1,13444.58,27708.73
165,1,7650.33,4443.15
166,1,1392.02,2443.24
167,1,3588.19,4416.58
169,1,4684.18,5077.27
170,1,3726.69,3437.14
171,1,27829.23,45650.7
172,1,2718.28,3165.36
173,1,3522.23,6792.18
174,1,3469.04,6801.19
