districtid,timeid,neighborhoodzscore,statezscore
102,1,-1.98,-0.49
103,1,1.09,-0.15
104,1,30.51,6.58
105,1,-0.69,-0.07
106,1,0.19,0.55
107,1,0.26,-0.51
108,1,0.68,0.03
109,1,1.05,0.33
110,1,0.0,-0.52
111,1,-0.65,-0.29
112,1,-0.17,-0.62
113,1,1.19,1.88
114,1,0.65,0.31
115,1,-1.17,-0.6
116,1,-1.77,-0.48
117,1,0.03,-0.48
118,1,-0.55,-0.31
119,1,3.78,0.56
120,1,-0.8,-0.4
121,1,-0.81,-0.41
122,1,0.99,0.55
123,1,0.02,0.16
124,1,-1.52,-0.45
125,1,-0.34,-0.38
126,1,0.72,-0.06
127,1,-1.39,-0.46
128,1,-0.88,-0.39
129,1,-0.77,-0.71
130,1,-0.83,-0.5
131,1,-0.15,-0.25
132,1,-0.1,-0.06
133,1,1.49,0.07
134,1,-0.1,-0.03
135,1,-0.64,-0.24
136,1,-1.36,-0.87
137,1,-1.46,-0.6
138,1,-1.12,-0.3
140,1,-0.57,-0.43
141,1,0.07,-0.55
142,1,1.05,0.16
143,1,-0.96,-0.35
144,1,-0.58,-0.22
145,1,-1.28,-0.45
146,1,0.0,-0.56
147,1,0.98,-0.58
148,1,-0.44,0.05
149,1,-0.22,-0.6
150,1,-0.1,-0.48
151,1,-0.97,-0.7
152,1,-0.3,0.13
153,1,-0.59,-0.65
154,1,4.21,0.84
155,1,1.43,-0.33
156,1,-0.49,-0.14
157,1,-0.65,-0.62
159,1,-0.65,-0.07
160,1,-0.57,-0.24
161,1,0.06,-0.22
162,1,4.51,-0.06
163,1,-0.12,0.54
164,1,-0.47,-0.28
165,1,110.73,30.83
166,1,-0.42,-0.25
167,1,-1.39,-0.54
169,1,10.6,-0.3
170,1,2.53,0.64
171,1,-0.58,-0.58
172,1,0.39,0.3
173,1,-0.73,-0.28
174,1,-0.56,-0.06
175,1,0.51,-0.17
176,1,-1.31,-0.31
177,1,0.03,-0.53
178,1,-0.42,-0.03
179,1,46.88,4.89
180,1,-2.33,-0.31
181,1,-0.61,-0.38
182,1,-0.95,-0.36
183,1,0.28,0.65
184,1,7.29,0.29
185,1,-1.11,-0.65
186,1,-0.07,-0.55
188,1,-0.58,0.14
190,1,-0.7,-0.45
191,1,-0.93,-0.41
192,1,-0.48,-0.25
193,1,-0.35,-0.52
194,1,-0.68,-0.67
195,1,-0.72,-0.34
196,1,-0.32,-0.23
199,1,-0.62,-0.4
200,1,-0.97,-0.4
201,1,-0.71,-0.82
202,1,-1.08,-0.82
203,1,0.0,-0.86
204,1,-0.43,-0.32
206,1,0.0,0.0
207,1,-0.38,-0.53
208,1,5.95,1.04
210,1,-2.39,-0.94
211,1,-0.93,-0.48
212,1,0.0,22.65
213,1,-0.47,-0.29
214,1,-0.59,-0.37
215,1,-0.73,-0.48
216,1,-0.99,-0.31
217,1,-1.44,-0.31
219,1,-0.95,-0.36
220,1,-0.51,-0.64
221,1,1.71,0.3
222,1,-0.56,-0.57
224,1,-0.79,-0.55
225,1,8.43,0.23
226,1,1.8,0.04
227,1,0.5,1.15
228,1,-0.99,1.26
229,1,4.81,-0.33
230,1,0.18,-0.39
231,1,2.02,0.05
232,1,0.0,0.77
233,1,-0.44,-0.26
234,1,-1.42,-0.39
235,1,2.46,-0.25
237,1,-0.96,-0.25
238,1,-0.84,-0.7
239,1,9.94,-0.08
240,1,1.64,2.09
241,1,0.03,-0.22
242,1,-0.03,0.16
243,1,-1.0,-0.48
244,1,-0.47,-0.25
245,1,0.59,-0.28
246,1,-0.55,-0.38
247,1,0.77,0.71
248,1,-0.46,-0.17
249,1,-1.11,-0.46
250,1,14.03,-0.02
252,1,-1.09,-0.55
254,1,-0.53,-0.4
257,1,2.37,4.54
258,1,0.03,-0.23
259,1,-0.59,-0.5
260,1,0.0,-16.26
261,1,-0.72,-0.72
262,1,-1.05,-0.57
263,1,0.24,-0.53
264,1,-0.08,0.92
266,1,-0.19,-0.31
267,1,2.25,3.17
268,1,0.0,-0.4
269,1,-0.38,0.09
270,1,79.18,14.57
271,1,8.11,0.38
273,1,-0.03,0.24
274,1,-0.39,-0.36
275,1,-0.73,-0.58
276,1,1.21,-0.26
277,1,1.25,4.11
278,1,-1.24,-0.57
279,1,-0.55,-0.48
280,1,-0.41,-0.69
281,1,-0.38,-0.48
282,1,0.0,-0.7
283,1,-0.5,-0.43
284,1,-0.62,-0.26
285,1,-0.64,-0.59
286,1,-1.03,-0.34
287,1,-0.67,-0.19
288,1,-0.57,-0.13
289,1,0.85,3.57
290,1,-0.46,-0.29
291,1,-0.55,-0.43
292,1,0.68,1.16
293,1,2.33,0.32
294,1,1.67,1.27
295,1,-0.24,-0.11
296,1,-0.21,-0.37
297,1,0.5,0.22
299,1,-0.68,-0.47
301,1,3.01,-0.04
302,1,-0.0,-0.18
303,1,-1.24,-0.25
304,1,6.26,1.64
305,1,-0.34,-0.42
306,1,-0.65,-0.42
307,1,3.22,0.11
308,1,0.52,-0.1
309,1,1.83,3.71
310,1,8.6,2.1
312,1,-0.6,-0.66
313,1,0.13,0.01
314,1,-1.28,-0.76
315,1,-1.17,-0.39
316,1,-2.4,-0.37
317,1,-0.54,-0.16
318,1,1.53,2.37
319,1,-0.01,-0.13
320,1,-1.23,-0.66
321,1,-1.29,-0.3
322,1,-0.54,0.1
323,1,-1.09,-0.57
324,1,1.33,-0.17
326,1,-0.52,-0.33
327,1,-0.22,-0.42
328,1,-0.44,0.55
329,1,-1.64,-1.24
332,1,25.75,6.82
333,1,20.05,1.4
335,1,3.52,3.4
336,1,-1.38,-0.76
