districtid,timeid,neighborhoodzscore,statezscore
102,7,-0.79,-0.4
102,8,-0.7,-0.42
102,12,-1.41,-0.48
102,13,-1.68,-0.45
102,14,-1.52,-0.41
102,17,-0.94,-0.43
102,18,-1.22,-0.46
102,19,-1.0,-0.4
102,20,-2.73,-0.46
102,21,-1.53,-0.49
102,22,-1.85,-0.45
102,23,-2.14,-0.49
102,24,-2.3,-0.56
102,25,-1.14,-0.5
103,7,8.15,11.15
103,8,10.6,9.52
103,9,10.57,3.48
103,10,1.57,0.68
103,11,0.02,0.34
103,12,-0.05,0.9
103,13,0.12,0.84
103,14,0.22,0.79
103,15,-0.81,-0.12
103,16,-0.21,0.11
103,17,0.1,-0.04
103,18,-0.0,-0.32
103,19,0.21,-0.31
103,20,1.22,-0.33
103,21,0.85,-0.31
103,22,0.54,-0.35
103,23,0.08,-0.4
103,24,0.78,-0.32
103,25,2.18,-0.04
104,7,101.7,37.21
104,8,116.14,35.63
104,9,181.05,56.78
104,10,127.13,33.75
104,11,115.55,28.13
104,12,42.68,19.69
104,13,138.31,23.0
104,14,81.57,18.37
104,15,71.56,6.98
104,16,62.17,4.73
104,17,15.23,2.96
104,18,11.45,3.01
104,19,15.08,3.12
104,20,11.02,2.41
104,21,9.78,2.55
104,22,11.31,2.54
104,23,10.79,2.72
104,24,9.03,2.44
104,25,8.83,2.19
105,7,-1.9,-0.27
105,8,-1.24,-0.32
105,9,-1.02,-0.32
105,10,-0.88,-0.29
105,11,-0.83,-0.31
105,12,-0.82,-0.3
105,13,-0.86,-0.35
105,14,-0.88,-0.4
105,15,-0.82,-0.4
105,16,-0.81,-0.39
105,17,-0.84,-0.38
105,18,-0.85,-0.36
105,19,-0.68,-0.1
105,20,-0.57,0.1
105,21,-0.47,0.32
105,22,-0.45,0.45
105,23,-0.53,0.2
105,24,-0.45,0.22
105,25,-0.48,0.14
106,7,0.18,0.17
106,8,-0.06,0.14
106,9,-0.29,0.01
106,10,-1.07,-0.42
106,11,-0.66,-0.17
106,12,-0.65,-0.41
106,13,-0.36,-0.15
106,14,-0.66,-0.43
106,15,-0.47,-0.26
106,16,-0.05,-0.01
106,17,-0.04,0.18
