districtid,timeid,cases
206,1,2
206,2,6
206,3,4
206,4,6
206,5,35
206,6,191
206,7,234
307,2,4
307,3,11
307,4,58
307,5,906
307,6,498
307,7,641
429,2,10
429,3,14
429,4,84
429,5,313
429,6,159
429,7,337
434,2,43
434,3,19
434,4,82
434,5,1124
434,6,686
434,7,433
665,2,1
665,3,2
665,4,1
665,5,402
665,6,1023
665,7,601
735,2,2
735,3,16
735,4,7
735,5,956
735,6,1142
735,7,1103
131,2,1
131,3,7
131,4,11
131,5,57
131,6,27
131,7,50
178,2,2
178,3,2
178,4,9
178,5,82
178,6,43
178,7,19
234,2,4
234,3,1
234,4,1
234,5,57
234,6,18
234,7,35
440,2,3
440,3,5
440,4,2
440,5,28
440,6,17
440,7,22
458,2,5
458,3,14
458,4,8
458,5,122
458,6,68
458,7,67
495,2,3
495,3,2
495,4,18
495,5,36
495,6,10
495,7,5
508,2,1
508,3,3
508,4,10
508,5,146
508,6,34
508,7,27
518,2,1
518,3,1
518,4,20
518,5,43
518,6,3
518,7,25
553,2,2
553,3,11
553,4,39
553,5,535
553,6,156
553,7,222
575,2,1
575,3,13
575,4,2
575,5,73
575,6,65
575,7,98
599,2,11
599,3,4
599,4,8
599,5,156
599,6,20
599,7,28
615,2,2
615,3,9
615,4,1
615,5,85
615,6,26
615,7,54
104,2,249
104,3,299
104,4,197
104,5,176
104,6,173
104,7,167
121,2,3
121,3,2
121,4,14
121,5,11
121,6,20
121,7,9
190,2,1
190,3,1
190,4,4
190,5,4
190,6,5
190,7,12
288,2,10
288,3,13
288,4,16
288,5,40
288,6,36
288,7,35
583,2,3
583,3,4
583,4,6
583,5,79
583,6,118
583,7,145
672,2,13
672,3,55
672,4,199
672,5,284
672,6,257
672,7,277
715,2,19
715,3,34
715,4,52
715,5,94
715,6,128
715,7,119
114,2,1
114,3,4
114,4,5
114,5,48
114,6,114
114,7,160
277,2,7
277,3,28
277,4,143
277,5,176
277,6,103
277,7,284
352,2,18
352,3,4
352,4,8
352,5,4
352,6,38
352,7,35
652,2,1
652,3,19
652,4,13
652,5,21
652,6,109
652,7,125
344,2,1
344,4,18
344,5,14
344,6,49
344,7,5
591,2,3
591,3,1
591,4,1
591,5,83
591,6,292
591,7,656
123,2,12
123,3,24
123,4,16
123,5,21
123,6,18
123,7,35
148,2,3
148,3,1
148,4,3
148,5,22
148,6,38
148,7,12
433,2,1
433,3,10
433,4,1
433,5,9
433,6,19
433,7,54
595,2,1
595,3,1
595,4,5
595,5,20
595,6,6
595,7,2
666,2,2
666,3,8
666,4,47
666,5,128
666,6,87
666,7,175
135,2,3
135,3,1
135,4,4
135,5,88
135,6,172
135,7,144
165,2,10
165,3,21
165,4,503
165,5,2220
165,6,1862
165,7,3093
231,2,1
231,3,14
231,4,44
231,5,204
231,6,270
231,7,377
477,2,2
477,3,13
477,4,2
477,5,65
477,6,159
477,7,246
721,2,2
721,3,26
721,4,39
721,5,118
721,6,84
721,7,103
329,2,4
329,3,4
329,4,5
329,5,59
329,6,15
329,7,31
380,2,3
380,3,7
380,4,26
380,5,14
380,6,74
380,7,222
426,2,6
426,3,1
426,4,3
426,5,89
426,6,86
426,7,119
469,2,1
469,3,3
469,4,32
469,5,75
469,6,177
469,7,249
538,2,1
538,3,12
538,4,17
538,5,83
538,6,42
538,7,100
105,2,6
105,3,12
105,4,8
105,5,323
105,6,237
105,7,789
117,2,6
117,3,13
117,4,34
117,5,50
117,6,124
117,7,84
132,2,26
132,3,39
132,4,221
132,5,164
132,6,381
132,7,401
171,2,1
171,3,3
171,4,1
171,5,4
171,6,23
171,7,184
339,2,20
339,3,9
339,4,114
339,5,388
339,6,606
339,7,503
417,2,2
417,3,28
417,4,5
417,5,489
417,6,516
417,7,747
443,2,2
443,3,7
443,4,11
443,5,128
443,6,174
443,7,422
493,2,417
493,3,1244
493,4,893
493,5,1085
493,6,1179
493,7,1688
506,2,1
506,3,18
506,4,20
506,5,341
506,6,801
506,7,1742
513,2,2
513,3,3
513,4,2
513,5,83
513,6,274
513,7,366
517,2,2
517,3,24
517,4,115
517,5,455
517,6,895
517,7,893
540,2,5
540,3,50
540,4,280
540,5,341
540,6,241
540,7,481
571,2,56
571,3,382
571,4,1024
571,5,3006
571,6,1931
571,7,4837
577,2,2
577,3,66
577,4,274
577,5,377
577,6,463
577,7,951
650,2,14
650,3,25
650,4,17
650,5,256
650,6,266
650,7,718
682,2,61
682,3,462
682,4,1628
682,5,1558
682,6,1288
682,7,1813
746,2,8
746,3,2
746,4,2
746,5,88
746,6,37
746,7,139
179,2,25
179,3,45
179,4,25
179,5,208
179,6,189
179,7,172
244,2,1
244,3,1
244,4,1
244,5,6
244,6,15
244,7,14
316,2,1
316,3,2
316,4,2
316,5,7
316,6,2
316,7,13
326,2,1
326,3,1
326,4,4
326,5,20
326,6,8
326,7,20
332,2,10
332,3,55
332,4,45
332,5,112
332,6,272
332,7,284
333,2,7
333,3,5
333,4,5
333,5,48
333,6,135
333,7,116
580,2,8
580,3,1
580,4,1
580,5,12
580,6,15
580,7,18
702,2,11
702,3,10
702,4,3
702,5,8
702,6,28
702,7,34
169,2,3
169,3,7
169,4,4
169,5,1
169,6,47
169,7,50
422,2,1
422,3,1
422,4,18
422,5,81
422,6,127
422,7,90
669,2,4
669,3,6
669,4,2
669,5,75
669,6,19
669,7,56
384,2,6
384,3,1
384,4,6
384,5,2
384,6,40
384,7,41
678,2,7
678,3,1
678,4,6
678,5,7
678,6,3
678,7,31
106,2,4
106,3,6
106,4,2
106,5,90
106,6,53
106,7,122
175,2,2
175,3,3
175,4,4
175,5,13
175,6,12
175,7,22
222,2,3
222,3,1
222,4,1
222,5,10
222,6,12
222,7,29
335,2,26
335,3,30
335,4,27
335,5,163
335,6,290
335,7,295
336,2,1
336,3,2
336,4,1
336,5,17
336,6,1
336,7,35
353,2,10
353,3,15
353,4,1
353,5,35
353,6,40
353,7,56
360,2,97
360,3,54
360,4,55
360,5,160
360,6,145
360,7,205
425,2,5
425,3,14
425,4,12
425,5,122
425,6,232
425,7,170
505,2,1
505,3,10
505,4,9
505,5,51
505,6,36
505,7,32
541,2,9
541,3,10
541,4,4
541,5,96
541,6,63
541,7,36
695,2,3
695,3,1
695,4,1
695,5,2
695,6,40
695,7,29
697,2,1
697,3,11
697,4,6
697,5,50
697,6,36
697,7,13
212,2,138
212,3,804
212,4,2358
212,5,1027
212,6,1161
212,7,965
459,2,5
459,3,10
459,4,255
459,5,171
459,6,122
459,7,99
723,2,2
723,3,1
723,4,48
723,5,170
723,6,176
723,7,145
103,2,38
103,3,7
103,4,8
103,5,50
103,6,62
103,7,80
109,2,3
109,3,9
109,4,25
109,5,67
109,6,121
109,7,116
154,2,1
154,3,4
154,4,11
154,5,294
154,6,95
154,7,132
182,2,1
182,3,5
182,4,8
182,5,24
182,6,53
182,7,45
191,2,2
191,3,2
191,4,4
191,5,64
191,6,32
191,7,52
192,2,1
192,3,2
192,4,14
192,5,46
192,6,40
192,7,41
283,2,1
283,3,19
283,4,4
283,5,20
283,6,58
283,7,59
292,2,4
292,3,48
292,4,96
292,5,132
292,6,126
292,7,205
304,2,1
304,3,4
304,4,19
304,5,155
304,6,374
304,7,203
315,2,1
315,3,3
315,4,11
315,5,35
315,6,27
315,7,23
