districtid,timeid,cases
206,1,5502
307,1,39218
429,1,17848
434,1,47727
665,1,27163
735,1,41751
131,1,2939
178,1,3690
234,1,2471
440,1,1887
458,1,5033
495,1,2387
508,1,4738
518,1,2294
553,1,22285
575,1,4452
599,1,4544
615,1,4574
104,1,30170
121,1,791
190,1,533
288,1,2597
583,1,5468
672,1,21516
715,1,8576
114,1,4382
277,1,13577
352,1,1409
652,1,4950
344,1,497
591,1,10397
123,1,2451
148,1,2206
433,1,2242
595,1,439
666,1,9900
135,1,6857
165,1,144628
231,1,14587
477,1,6530
721,1,7142
329,1,1842
380,1,4113
426,1,4667
469,1,10235
538,1,4939
105,1,23975
117,1,5726
132,1,24556
171,1,1554
339,1,30711
417,1,25238
443,1,9673
493,1,148305
506,1,36136
513,1,8898
517,1,44053
540,1,27506
571,1,193507
577,1,33985
650,1,22131
682,1,140253
746,1,3957
179,1,11022
244,1,772
316,1,492
326,1,588
332,1,13139
333,1,4679
580,1,713
702,1,1819
169,1,3171
422,1,3981
669,1,4807
384,1,1471
678,1,915
106,1,4436
175,1,2228
222,1,998
335,1,11598
336,1,438
353,1,1774
360,1,12742
425,1,5993
505,1,2401
541,1,4223
695,1,649
697,1,2537
212,1,140157
459,1,14599
723,1,8213
103,1,2916
109,1,5012
154,1,7209
182,1,1987
191,1,1746
192,1,2483
283,1,1659
292,1,8569
304,1,10556
315,1,1836
338,1,1486
354,1,4764
382,1,16485
454,1,31308
483,1,4834
488,1,5606
560,1,2551
564,1,2115
590,1,3734
122,1,44494
221,1,41561
126,1,3588
149,1,1796
196,1,3019
303,1,2950
350,1,2473
364,1,1347
628,1,1829
644,1,2865
671,1,473
173,1,1652
174,1,3035
544,1,4418
569,1,2804
284,1,6299
367,1,12707
392,1,5714
387,1,1306
107,1,4295
323,1,1703
616,1,17702
195,1,577
248,1,984
596,1,861
624,1,716
327,1,1863
337,1,7540
151,1,626
637,1,2778
370,1,6773
511,1,2454
147,1,1051
294,1,9015
302,1,2786
348,1,3925
479,1,2566
611,1,1667
718,1,9172
240,1,5113
267,1,65665
563,1,27976
725,1,40192
163,1,5582
457,1,2318
716,1,3583
465,1,633
535,1,762
431,1,1980
239,1,10975
499,1,21307
419,1,4919
686,1,17371
613,1,17609
639,1,1654
731,1,2076
102,1,220
402,1,970
403,1,1744
356,1,1584
399,1,2302
405,1,20572
162,1,2856
278,1,1445
455,1,11684
552,1,6993
614,1,2370
172,1,3653
685,1,26017
497,1,2508
603,1,4465
699,1,4380
127,1,446
229,1,1270
309,1,12978
547,1,3201
159,1,1202
592,1,1169
119,1,4626
308,1,2756
485,1,1597
601,1,991
113,1,8192
153,1,765
128,1,3028
226,1,13643
556,1,1394
587,1,4916
607,1,12504
301,1,1747
120,1,1822
275,1,1050
381,1,1290
395,1,4813
438,1,1397
550,1,1104
643,1,1708
299,1,916
216,1,4798
250,1,12710
207,1,3581
254,1,9157
340,1,4921
125,1,480
310,1,6210
476,1,913
490,1,2139
626,1,487
141,1,1981
282,1,1078
585,1,1258
258,1,7074
391,1,1761
503,1,3135
683,1,7251
137,1,947
161,1,2606
167,1,1184
242,1,4270
320,1,687
566,1,11285
706,1,2334
215,1,345
404,1,1014
677,1,365
717,1,1022
745,1,2061
241,1,1430
609,1,796
180,1,4862
732,1,1662
593,1,4821
396,1,530
289,1,18544
463,1,67
225,1,18269
694,1,3193
245,1,1438
138,1,2259
466,1,546
467,1,1684
129,1,1408
170,1,5921
629,1,853
648,1,3090
264,1,4466
243,1,333
280,1,1122
358,1,821
542,1,1582
445,1,1670
523,1,204
545,1,293
157,1,1286
478,1,760
263,1,1140
565,1,511
383,1,10083
130,1,1387
152,1,4111
186,1,2333
235,1,5471
328,1,14008
418,1,42359
470,1,5138
501,1,4356
526,1,37074
548,1,4261
549,1,5489
572,1,3051
573,1,7031
654,1,12205
608,1,3554
579,1,15495
343,1,3276
474,1,447
342,1,4876
321,1,5077
193,1,3940
617,1,622
551,1,1420
156,1,2327
183,1,4716
687,1,4077
724,1,13149
276,1,2402
228,1,1200
363,1,1906
390,1,3707
262,1,718
700,1,961
713,1,5735
690,1,467
227,1,10042
249,1,1420
430,1,2478
684,1,13029
693,1,10129
116,1,1472
437,1,3564
627,1,1223
341,1,4110
496,1,3693
378,1,1026
287,1,1657
520,1,1321
633,1,1188
398,1,2121
481,1,4619
386,1,629
618,1,571
568,1,6577
719,1,11494
220,1,770
726,1,23318
410,1,2323
200,1,478
632,1,389
464,1,2029
539,1,1855
351,1,742
642,1,1373
146,1,1103
668,1,2241
400,1,2352
604,1,3617
670,1,2726
296,1,1046
313,1,638
705,1,565
290,1,1277
219,1,3657
273,1,7058
306,1,372
619,1,794
567,1,14458
134,1,3426
281,1,1458
393,1,981
484,1,1738
645,1,2367
318,1,5425
498,1,6486
543,1,2923
597,1,3888
247,1,3340
394,1,1038
270,1,1879
176,1,648
602,1,1230
519,1,3319
224,1,1077
238,1,632
532,1,1264
279,1,1466
295,1,3074
312,1,699
379,1,1768
441,1,1597
714,1,1050
293,1,4865
489,1,1046
673,1,1260
185,1,381
177,1,1620
210,1,315
365,1,1378
598,1,3328
322,1,2080
689,1,5173
259,1,184
574,1,4305
385,1,979
133,1,3860
651,1,1800
355,1,290
712,1,2458
516,1,670
297,1,2331
730,1,1430
475,1,287
621,1,285
115,1,956
142,1,4267
345,1,1703
435,1,2222
319,1,9742
415,1,3910
536,1,7087
636,1,336
314,1,432
357,1,1089
317,1,2838
507,1,3238
118,1,1427
442,1,1075
427,1,6454
204,1,2156
397,1,1038
112,1,740
143,1,667
562,1,332
641,1,1022
588,1,691
646,1,4213
480,1,1724
625,1,3720
424,1,542
701,1,12515
108,1,6280
233,1,762
237,1,780
720,1,1016
554,1,737
166,1,789
704,1,147
406,1,1125
144,1,1068
291,1,443
447,1,720
589,1,2100
570,1,480
610,1,3215
230,1,4033
578,1,2393
674,1,889
324,1,2810
261,1,493
411,1,334
412,1,1663
421,1,7553
576,1,8157
376,1,2366
423,1,959
584,1,3102
305,1,1012
638,1,1101
217,1,4966
285,1,919
582,1,902
630,1,558
640,1,410
136,1,304
201,1,398
494,1,425
432,1,291
211,1,883
734,1,422
213,1,695
252,1,1938
471,1,2515
680,1,1401
184,1,2627
711,1,774
649,1,1630
140,1,348
368,1,1551
145,1,379
188,1,2165
164,1,5566
274,1,3658
347,1,559
286,1,2960
500,1,1350
661,1,993
707,1,824
742,1,5217
202,1,398
561,1,416
600,1,310
150,1,3081
546,1,1678
534,1,745
246,1,574
586,1,3681
529,1,23
257,1,1862
413,1,1247
155,1,3027
407,1,887
214,1,502
194,1,697
208,1,525
160,1,1018
696,1,73
462,1,836
663,1,15
739,1,59
110,1,2664
605,1,931
448,1,150
512,1,201
679,1,203
709,1,73
408,1,103
736,1,34
594,1,5208
369,1,523
740,1,250
456,1,120
472,1,33
557,1,347
271,1,320
409,1,15
487,1,318
558,1,34
743,1,34
444,1,31
451,1,74
692,1,209
203,1,16
606,1,30
747,1,116
232,1,1089
199,1,2612
416,1,181
622,1,15
449,1,45
737,1,403
420,1,435
260,1,242
537,1,28
515,1,572
452,1,125
667,1,587
446,1,59
450,1,7
181,1,595
268,1,56
111,1,690
486,1,29
124,1,52
453,1,60
710,1,156
269,1,227
634,1,42
266,1,102
657,1,28
373,1,3
631,1,18
664,1,2
708,1,1
428,1,4
436,1,7
