districtname,districtid
Adilabad/Q15211,101
Agar Malwa/Q15732396,102
Agra/Q606343,103
Ahmedabad/Q401686,104
Ahmednagar/Q401744,105
Ajmer/Q413037,106
Akola/Q520510,107
Alappuzha/Q928959,108
Aligarh/Q766918,109
Alipurduar/Q4726845,110
Alirajpur/Q2667586,111
Almora/Q1805066,112
Alwar/Q449690,113
Ambala/Q2086226,114
Ambedkar Nagar/Q456764,115
Amethi/Q1071494,116
Amravati/Q1771774,117
Amreli/Q257946,118
Amritsar/Q202822,119
Amroha/Q1891677,120
Anand/Q485683,121
Anantapur/Q15212,122
Anantnag/Q2982349,123
Anjaw/Q15413,124
Anuppur/Q2299093,125
Araria/Q42901,126
Aravalli/Q12175285,127
Ariyalur/Q15112,128
Arwal/Q42917,129
Auraiya/Q1812533,130
Aurangabad/Q43086,131
Aurangabad/Q592942,132
Ayodhya/Q1814132,133
Azamgarh/Q793553,134
Bagalkote/Q1910231,135
Bageshwar/Q1815313,136
Baghpat/Q1797363,137
Bahraich/Q1812548,138
Baksa/Q2360266,139
Balaghat/Q641904,140
Balangir/Q804642,141
Ballia/Q584644,142
Balod/Q15663455,143
Baloda Bazar/Q15663455,144
Balrampur/Q16056268,145
Balrampur/Q1948380,146
Banda/Q2131759,147
Bandipora/Q2983553,148
Banka/Q43097,149
Bankura/Q2088458,150
Banswara/Q806969,151
Barabanki/Q633114,152
Baran/Q2329717,153
Bareilly/Q1797378,154
Bargarh/Q808140,155
Barmer/Q42016,156
Barnala/Q2353293,157
Barpeta/Q41249,158
Barwani/Q2126754,159
Bastar/Q100152,160
Basti/Q715267,161
Bathinda/Q172488,162
Begusarai/Q49157,163
Bengaluru Rural/Q806464,164
Bengaluru Urban/Q806463,165
Betul/Q1815279,166
Bhadohi/Q127533,167
Bhadradri Kothagudem/Q28169767,168
Bhadrak/Q685638,169
Bhagalpur/Q49155,170
Bhandara/Q1813857,171
Bharatpur/Q854861,172
Bharuch/Q854900,173
Bhavnagar/Q854963,174
Bhilwara/Q41991,175
Bhind/Q2341700,176
Bhiwani/Q1852857,177
Bhojpur/Q49153,178
Bhopal/Q1797245,179
Bidar/Q1790568,180
Bijapur/Q100164,181
Bijnor/Q1937865,182
Bikaner/Q778996,183
Bilaspur/Q100157,184
Bilaspur/Q1478939,185
Birbhum/Q2088440,186
Bishnupur/Q938190,187
Bokaro/Q2295925,188
Bongaigaon/Q42197,189
Botad/Q14505072,190
Budaun/Q1815262,191
Bulandshahr/Q1752328,192
Buldhana/Q47929,193
Bundi/Q670405,194
Burhanpur/Q2125592,195
Buxar/Q49161,196
Cachar/Q42209,197
Central Delhi/Q107941,198
Chamarajanagara/Q862912,199
Chamba/Q1060614,200
Chamoli/Q1797372,201
Champawat/Q288278,202
Champhai/Q1965256,203
Chandauli/Q2733369,204
Chandel/Q2301769,205
Chandigarh/Q5071071,206
Chandrapur/Q1797274,207
Changlang/Q15427,208
