district1,district2
Adilabad/Q15211,Nanded/Q692389
Adilabad/Q15211,Yavatmal/Q1804852
Adilabad/Q15211,Nirmal/Q28169750
Adilabad/Q15211,Chandrapur/Q1797274
Agar Malwa/Q15732396,Rajgarh/Q1833306
Agar Malwa/Q15732396,Shajapur/Q2449803
Agar Malwa/Q15732396,Ratlam/Q2299164
Agar Malwa/Q15732396,Ujjain/Q892641
Agar Malwa/Q15732396,Jhalawar/Q1471417
Agra/Q606343,Etawah/Q1815288
Agra/Q606343,Hathras/Q1814892
Agra/Q606343,Bhind/Q2341700
Agra/Q606343,Morena/Q2341467
Agra/Q606343,Mathura/Q1773422
Agra/Q606343,Etah/Q1773429
Agra/Q606343,Firozabad/Q1946950
Agra/Q606343,Bharatpur/Q854861
Ahmedabad/Q401686,Anand/Q485683
Ahmedabad/Q401686,
Ahmedabad/Q401686,Botad/Q14505072
Ahmedabad/Q401686,Surendranagar/Q237535
Ahmedabad/Q401686,Bhavnagar/Q854963
Ahmedabad/Q401686,Gandhinagar/Q1772860
Ahmedabad/Q401686,Kheda/Q1755463
Ahmednagar/Q401744,Nashik/Q1797269
Ahmednagar/Q401744,Pune/Q1797336
Ahmednagar/Q401744,Osmanabad/Q1647186
Ahmednagar/Q401744,Aurangabad/Q592942
Ahmednagar/Q401744,Thane/Q943099
Ahmednagar/Q401744,Solapur/Q1797263
Ajmer/Q413037,Pali/Q46925
Ajmer/Q413037,Rajsamand/Q596693
Ajmer/Q413037,Jaipur/Q1134781
Ajmer/Q413037,Bhilwara/Q41991
Ajmer/Q413037,Nagaur/Q1507174
Ajmer/Q413037,Tonk/Q915880
Akola/Q520510,Amravati/Q1771774
Akola/Q520510,Washim/Q1804858
Akola/Q520510,Buldhana/Q47929
Alappuzha/Q928959,Kollam/Q1356124
Alappuzha/Q928959,Kottayam/Q1353354
Alappuzha/Q928959,Ernakulam/Q1356097
Aligarh/Q766918,Gautam Buddha Nagar/Q1785950
Aligarh/Q766918,Sambhal/Q3000436
Aligarh/Q766918,Bulandshahr/Q1752328
Aligarh/Q766918,Hathras/Q1814892
Aligarh/Q766918,Kasganj/Q890800
Aligarh/Q766918,Mathura/Q1773422
Aligarh/Q766918,Budaun/Q1815262
Aligarh/Q766918,Palwal/Q2724926
Alipurduar/Q4726845,Jalpaiguri/Q1351487
Alipurduar/Q4726845,Kokrajhar/Q42618
Alirajpur/Q2667586,Dahod/Q186518
Alirajpur/Q2667586,Barwani/Q2126754
Alirajpur/Q2667586,Jhabua/Q2085336
Alirajpur/Q2667586,Dhar/Q2299069
Alirajpur/Q2667586,Chhota Udaipur/Q5979243
Almora/Q1805066,Nainital/Q1797306
Almora/Q1805066,Bageshwar/Q1815313
Almora/Q1805066,Chamoli/Q1797372
Almora/Q1805066,Champawat/Q288278
Almora/Q1805066,Pauri Garhwal/Q2085474
Almora/Q1805066,Pithoragarh/Q1945425
Alwar/Q449690,Jaipur/Q1134781
Alwar/Q449690,Nuh/Q2216696
Alwar/Q449690,Mahendragarh/Q684019
Alwar/Q449690,Rewari/Q2301759
Alwar/Q449690,Dausa/Q1173042
Alwar/Q449690,Bharatpur/Q854861
Ambala/Q2086226,Panchkula/Q1898143
Ambala/Q2086226,Sirmaur/Q654331
Ambala/Q2086226,Patiala/Q172391
Ambala/Q2086226,Yamunanagar/Q1873644
Ambala/Q2086226,Kurukshetra/Q980118
Ambedkar Nagar/Q456764,Azamgarh/Q793553
Ambedkar Nagar/Q456764,Gorakhpur/Q1144349
Ambedkar Nagar/Q456764,Basti/Q715267
Ambedkar Nagar/Q456764,Ayodhya/Q1814132
Ambedkar Nagar/Q456764,Sultanpur/Q1356154
Amethi/Q1071494,Pratapgarh/Q1473962
Amethi/Q1071494,Ayodhya/Q1814132
Amethi/Q1071494,Barabanki/Q633114
Amethi/Q1071494,Sultanpur/Q1356154
Amravati/Q1771774,Wardha/Q980608
Amravati/Q1771774,Burhanpur/Q2125592
Amravati/Q1771774,Akola/Q520510
Amravati/Q1771774,Khandwa/Q2085436
Amravati/Q1771774,Betul/Q1815279
Amravati/Q1771774,Washim/Q1804858
Amravati/Q1771774,Yavatmal/Q1804852
Amravati/Q1771774,Buldhana/Q47929
Amravati/Q1771774,Nagpur/Q1797367
Amravati/Q1771774,Chhindwara/Q1986096
Amreli/Q257946,Rajkot/Q1815245
Amreli/Q257946,Junagadh/Q1797344
Amreli/Q257946,Botad/Q14505072
Amreli/Q257946,Gir Somnath/Q15244465
Amreli/Q257946,Bhavnagar/Q854963
Amritsar/Q202822,Kapurthala/Q172363
Amritsar/Q202822,Gurdaspur/Q146708
Amritsar/Q202822,Tarn Taran/Q2298993
Amroha/Q1891677,Sambhal/Q3000436
Amroha/Q1891677,Bijnor/Q1937865
Amroha/Q1891677,Bulandshahr/Q1752328
Amroha/Q1891677,Hapur/Q5653340
Amroha/Q1891677,Moradabad/Q1345006
Amroha/Q1891677,Meerut/Q1764627
Anand/Q485683,Vadodara/Q578285
Anand/Q485683,Ahmedabad/Q401686
Anand/Q485683,Bharuch/Q854900
Anand/Q485683,Kheda/Q1755463
Anantapur/Q15212,Kurnool/Q15381
Anantapur/Q15212,Chikkaballapura/Q1072629
Anantapur/Q15212,Chittoor/Q15213
Anantapur/Q15212,Chitradurga/Q165264
Anantnag/Q2982349,Ramban/Q2321939
Anantnag/Q2982349,Kishtwar/Q2321899
Anantnag/Q2982349,Kargil/Q1650798
Anantnag/Q2982349,Doda/Q2298979
Anantnag/Q2982349,Ganderbal/Q2556028
Anantnag/Q2982349,Pulwama/Q2085364
Anantnag/Q2982349,Kulgam/Q2321867
Anantnag/Q2982349,Srinagar/Q1506029
Anjaw/Q15413,Lohit/Q15438
Anjaw/Q15413,Changlang/Q15427
Anuppur/Q2299093,Umaria/Q620297
Anuppur/Q2299093,Mungeli/Q13476249
Anuppur/Q2299093,Dindori/Q2398551
Anuppur/Q2299093,Bilaspur/Q100157
Anuppur/Q2299093,Koriya/Q2295896
Anuppur/Q2299093,Shahdol/Q2085464
Araria/Q42901,Purnia/Q100082
Araria/Q42901,Kishanganj/Q77375
Araria/Q42901,Madhepura/Q77746
Araria/Q42901,Supaul/Q100139
Aravalli/Q12175285,Dungarpur/Q1265687
Aravalli/Q12175285,Udaipur/Q1321577
Aravalli/Q12175285,Gandhinagar/Q1772860
Aravalli/Q12175285,Mahisagar/Q5706885
Aravalli/Q12175285,Kheda/Q1755463
Ariyalur/Q15112,Cuddalore/Q15150
