timeid,method,spot,districtid
1,neighborhood,cold,102
1,neighborhood,hot,103
1,neighborhood,hot,104
1,state,hot,104
1,neighborhood,hot,109
1,neighborhood,cold,110
1,neighborhood,hot,113
1,state,hot,113
1,neighborhood,cold,115
1,neighborhood,cold,116
1,neighborhood,hot,119
1,neighborhood,cold,124
1,neighborhood,cold,127
1,neighborhood,hot,133
1,neighborhood,cold,136
1,neighborhood,cold,137
1,neighborhood,cold,138
1,neighborhood,hot,142
1,neighborhood,cold,145
1,neighborhood,cold,146
1,neighborhood,hot,154
1,neighborhood,hot,155
1,neighborhood,hot,162
1,neighborhood,hot,165
1,state,hot,165
1,neighborhood,cold,167
1,neighborhood,hot,169
1,neighborhood,hot,170
1,neighborhood,cold,176
1,neighborhood,hot,179
1,state,hot,179
1,neighborhood,cold,180
1,neighborhood,hot,184
1,neighborhood,cold,185
1,neighborhood,cold,202
1,neighborhood,hot,203
1,neighborhood,hot,206
1,state,hot,206
1,neighborhood,hot,208
1,state,hot,208
1,neighborhood,cold,210
1,neighborhood,hot,212
1,state,hot,212
1,neighborhood,cold,217
1,neighborhood,hot,221
1,neighborhood,hot,225
1,neighborhood,hot,226
1,state,hot,227
1,state,hot,228
1,neighborhood,hot,229
1,neighborhood,hot,231
1,neighborhood,hot,232
1,neighborhood,cold,234
1,neighborhood,hot,235
1,neighborhood,hot,239
1,neighborhood,hot,240
1,state,hot,240
1,neighborhood,cold,249
1,neighborhood,hot,250
1,neighborhood,cold,252
1,neighborhood,hot,257
1,state,hot,257
1,neighborhood,cold,260
1,state,cold,260
1,neighborhood,cold,262
1,neighborhood,hot,267
1,state,hot,267
1,neighborhood,hot,268
1,neighborhood,hot,270
1,state,hot,270
1,neighborhood,hot,271
1,neighborhood,hot,276
1,neighborhood,hot,277
1,state,hot,277
1,neighborhood,cold,278
1,neighborhood,hot,282
1,neighborhood,cold,286
1,state,hot,289
1,state,hot,292
1,neighborhood,hot,293
1,neighborhood,hot,294
1,state,hot,294
1,neighborhood,hot,301
1,neighborhood,cold,303
1,neighborhood,hot,304
1,state,hot,304
1,neighborhood,hot,307
1,neighborhood,hot,309
1,state,hot,309
1,neighborhood,hot,310
1,state,hot,310
1,neighborhood,cold,314
1,neighborhood,cold,315
1,neighborhood,cold,316
1,neighborhood,hot,318
1,state,hot,318
