districtid,timeid,neighbormean,neighborstdev
102,1,1230.2,511.12
103,1,1850.5,976.32
104,1,1538.33,938.29
105,1,71931.17,69707.7
106,1,3726.17,3691.75
107,1,3914.0,1490.22
108,1,5548.0,1072.68
109,1,2535.12,2359.21
110,1,4110.0,0.0
111,1,908.6,336.98
112,1,915.17,1047.61
113,1,3760.33,3724.49
114,1,3044.2,2065.9
115,1,4537.8,3063.38
116,1,3081.75,909.19
117,1,5467.2,10320.07
118,1,2397.6,1753.79
119,1,1714.0,770.98
120,1,3068.83,1557.33
121,1,10353.0,11819.43
122,1,24435.75,20329.5
123,1,2395.62,2940.32
124,1,337.5,187.5
125,1,773.5,851.84
126,1,2954.75,880.15
127,1,1584.2,819.86
128,1,7429.33,5002.22
129,1,6799.33,6975.21
130,1,1736.5,420.12
131,1,3168.0,1548.77
132,1,25915.0,14111.17
133,1,2362.0,1006.8
134,1,3746.0,3188.45
135,1,7287.75,675.43
136,1,518.0,157.15
137,1,4491.33,2429.42
138,1,3088.0,743.32
140,1,8272.8,13970.08
141,1,1922.25,857.49
142,1,3348.71,874.84
143,1,2229.0,1629.6
144,1,4355.2,5634.95
145,1,936.88,436.36
146,1,2786.0,0.0
147,1,726.14,331.7
148,1,3776.25,3551.32
149,1,2179.17,1758.93
150,1,3272.75,1925.77
151,1,910.83,292.61
152,1,7342.0,10741.62
153,1,1977.0,2067.93
154,1,3226.2,946.56
155,1,1792.33,863.64
156,1,4700.0,4847.05
157,1,3853.4,3979.3
159,1,8657.2,11460.95
160,1,1773.6,1326.77
161,1,2534.0,1198.87
162,1,1359.2,331.65
163,1,6493.0,7915.14
164,1,31899.0,56369.36
165,1,3908.33,1270.88
166,1,1655.6,2042.68
167,1,6530.0,3851.61
169,1,2211.5,90.5
170,1,2495.62,1355.28
171,1,10246.0,14997.31
172,1,2616.17,2661.64
173,1,7888.25,8495.04
174,1,10710.0,13765.14
175,1,1559.83,1310.87
176,1,2956.71,1761.87
177,1,1582.86,1081.15
178,1,6682.83,7065.56
179,1,759.4,218.91
180,1,9591.25,2028.94
181,1,692.67,160.16
182,1,3568.75,1664.32
183,1,3418.0,4716.95
184,1,694.8,265.09
185,1,854.2,428.2
186,1,2444.0,1549.18
188,1,2462.75,516.0
190,1,8272.0,11052.9
191,1,3674.38,2067.01
192,1,3781.2,2702.96
193,1,7358.14,9669.61
194,1,2087.8,2041.02
195,1,8618.2,11172.21
196,1,3384.4,1137.05
199,1,6655.0,6485.72
200,1,862.2,396.03
201,1,592.83,272.68
202,1,2193.5,1669.13
203,1,15.0,0.0
204,1,3426.2,2931.07
206,1,2923.0,0.0
207,1,8799.2,13708.71
208,1,153.0,62.55
210,1,2096.5,745.13
211,1,4054.4,3420.47
212,1,26017.0,0.0
213,1,1338.75,1355.93
214,1,8704.8,13862.03
215,1,2801.5,3342.61
216,1,23882.75,19181.75
217,1,10295.2,3692.72
219,1,20145.0,17391.23
220,1,2719.17,3838.92
221,1,15531.83,15197.23
222,1,1932.25,1671.67
224,1,2172.67,1378.21
225,1,4310.5,1656.09
226,1,6321.71,4073.07
227,1,6451.0,7112.43
228,1,14264.0,13242.0
229,1,607.2,137.69
230,1,3798.0,1340.0
231,1,6920.0,3799.38
232,1,1022.0,0.0
233,1,1485.4,1626.26
234,1,4311.0,1295.96
235,1,2353.5,1269.63
237,1,2881.4,2196.78
238,1,4215.33,4271.92
239,1,4566.67,644.83
240,1,2069.86,1858.61
241,1,1409.0,692.17
242,1,4358.5,2874.66
243,1,1804.0,1472.0
244,1,2777.86,4259.76
245,1,1240.0,333.13
246,1,3375.71,5120.32
247,1,2313.5,1333.68
248,1,2929.29,4187.68
249,1,5605.0,3781.2
250,1,5703.67,499.37
252,1,6172.0,3870.0
254,1,19082.75,18899.77
257,1,797.0,450.0
258,1,6884.8,5702.15
259,1,1203.6,1741.54
260,1,1046.0,0.0
261,1,992.17,697.56
262,1,1394.4,644.63
263,1,950.6,796.34
