districtid,timeid,neighbormean,neighborstdev
102,7,13.75,16.08
102,8,23.75,32.57
102,12,37.4,25.82
102,13,28.8,16.56
102,14,30.4,19.32
102,17,22.2,14.08
102,18,61.4,35.6
102,19,70.6,39.59
102,20,90.0,27.44
102,21,98.8,56.84
102,22,114.8,43.76
102,23,127.2,45.5
102,24,135.0,47.29
102,25,225.2,162.23
103,7,13.5,18.47
103,8,12.12,18.39
103,9,5.62,5.43
103,10,17.25,13.82
103,11,29.38,29.05
103,12,69.5,115.95
103,13,72.62,97.44
103,14,88.25,112.92
103,15,88.62,49.15
103,16,104.25,107.43
103,17,102.5,106.2
103,18,97.38,77.26
103,19,113.88,85.82
103,20,115.75,82.85
103,21,158.5,78.67
103,22,162.12,100.84
103,23,184.38,131.15
103,24,195.0,130.62
103,25,223.25,139.63
104,7,19.6,13.2
104,8,28.4,16.95
104,9,13.17,14.31
104,10,20.0,14.45
104,11,16.17,16.13
104,12,33.33,48.09
104,13,23.67,16.74
104,14,29.5,27.32
104,15,38.33,23.29
104,16,59.67,22.3
104,17,105.0,72.41
104,18,149.83,95.22
104,19,136.5,81.55
104,20,162.0,88.21
104,21,155.5,94.78
104,22,136.67,84.7
104,23,125.33,97.73
104,24,136.5,113.05
104,25,160.5,114.81
105,7,200.8,102.52
105,8,537.4,419.06
105,9,642.5,620.26
105,10,776.0,886.6
105,11,991.33,1157.84
105,12,1039.0,1166.08
105,13,1486.0,1684.52
105,14,1905.33,2125.91
105,15,2793.83,3338.5
105,16,3972.67,4713.7
105,17,4736.0,5278.17
105,18,5553.0,6010.66
105,19,6761.33,7504.71
105,20,6072.67,6459.13
105,21,6096.0,5970.57
105,22,6491.67,5574.22
105,23,6826.33,6496.93
105,24,6902.83,7117.6
105,25,8269.5,8222.22
106,7,32.17,54.35
106,8,50.67,83.91
106,9,75.33,110.7
106,10,108.33,71.99
106,11,104.83,82.08
106,12,77.5,78.11
106,13,93.33,113.28
106,14,97.0,101.05
106,15,113.67,148.59
106,16,83.17,83.25
106,17,164.83,134.16
106,18,188.83,166.23
106,19,233.17,194.3
106,20,273.5,228.74
106,21,332.0,256.36
106,22,302.0,256.16
106,23,420.0,434.37
106,24,461.67,565.43
106,25,514.17,732.8
107,7,6.0,5.0
107,8,17.67,23.63
107,9,8.0,8.49
107,10,24.0,21.46
107,11,38.0,19.0
107,12,35.0,31.02
107,13,36.33,6.85
107,14,49.67,22.53
107,15,55.33,25.84
107,16,81.33,47.39
107,17,103.67,47.22
107,18,186.67,96.75
107,19,370.33,132.63
107,20,345.0,178.92
107,21,458.0,140.12
107,22,488.0,173.91
107,23,456.33,224.23
107,24,527.0,200.67
107,25,642.33,151.27
108,9,1.33,0.47
108,10,8.33,4.11
108,11,17.33,3.09
108,12,35.0,14.99
108,13,27.67,5.25
108,14,61.67,11.32
108,15,78.33,7.54
108,16,66.0,18.24
108,17,104.0,37.18
108,18,259.0,119.84
108,19,548.0,137.16
108,20,421.33,28.29
108,21,436.67,218.23
108,22,544.33,142.96
108,23,830.33,230.63
108,24,1035.67,135.58
108,25,1068.67,211.56
109,7,13.33,13.79
109,8,14.75,21.72
109,9,12.29,11.41
109,10,19.0,22.29
