districtid,timeid,statemean,statestdev
102,2,6.12,6.21
102,3,5.08,9.79
102,4,5.47,10.59
102,5,17.71,33.4
102,6,30.73,52.87
102,7,32.27,50.03
103,2,2.13,1.77
103,3,5.72,7.85
103,4,9.72,21.43
103,5,61.03,87.1
103,6,66.78,90.39
103,7,92.37,133.53
104,2,5.27,5.77
104,3,5.69,11.82
104,4,15.88,38.0
104,5,34.0,54.57
104,6,38.38,55.54
104,7,39.73,59.48
105,2,28.04,84.48
105,3,80.87,235.37
105,4,156.74,357.97
105,5,318.65,589.06
105,6,366.94,445.38
105,7,630.1,916.51
106,2,10.31,23.22
106,3,7.86,10.88
106,4,11.24,15.38
106,5,38.1,46.12
106,6,48.14,67.88
106,7,48.62,66.51
107,2,28.09,84.47
107,3,80.84,235.38
107,4,156.13,358.21
107,5,327.19,587.13
107,6,374.26,441.3
107,7,651.65,912.13
108,3,4.67,3.32
108,4,10.92,9.05
108,5,95.42,74.29
108,6,107.17,64.95
108,7,198.0,142.08
109,2,3.3,6.68
109,3,5.69,7.84
109,4,9.47,21.35
109,5,60.78,87.1
109,6,65.91,90.15
109,7,91.84,133.51
110,3,18.61,20.87
110,4,32.68,55.93
110,5,120.74,190.88
110,6,139.53,130.35
110,7,142.21,154.35
111,4,5.47,10.59
111,5,17.27,33.46
111,6,30.33,53.0
111,7,31.76,50.15
112,3,12.42,14.09
112,4,5.5,7.57
112,5,11.75,15.83
112,6,50.5,49.35
112,7,76.5,68.47
113,2,10.44,23.18
113,3,8.0,10.83
113,4,10.55,15.33
113,5,38.1,46.12
113,6,45.07,65.54
113,7,48.38,66.23
114,2,5.17,6.12
114,3,9.76,20.87
114,4,18.1,33.23
114,5,32.48,39.06
114,6,63.62,40.48
114,7,101.95,82.46
115,3,5.81,7.83
115,4,9.88,21.37
115,5,61.35,87.01
115,6,67.57,90.11
115,7,93.37,133.18
116,3,5.62,7.78
116,4,9.78,21.42
116,5,61.35,87.01
116,6,67.44,90.19
116,7,92.68,133.48
117,2,28.04,84.48
117,3,80.84,235.38
117,4,155.9,358.29
117,5,327.45,587.01
117,6,370.58,443.84
117,7,652.84,911.41
118,3,17.15,57.59
118,4,23.35,51.41
118,5,39.77,60.97
118,6,43.88,61.23
118,7,45.08,64.24
119,2,5.58,8.74
119,3,3.88,3.43
119,4,9.06,11.61
119,5,34.31,64.21
119,6,70.31,68.03
119,7,73.75,68.03
120,2,3.37,6.67
120,3,5.81,7.83
120,4,9.82,21.4
120,5,61.32,87.02
120,6,67.18,90.31
120,7,92.88,133.42
121,2,27.64,70.24
121,3,17.12,57.6
121,4,22.92,51.53
121,5,40.35,60.77
121,6,44.27,61.11
121,7,45.81,63.93
122,2,7.78,12.72
122,3,9.0,6.51
122,4,46.4,34.56
122,5,748.2,322.51
122,6,752.5,344.81
122,7,819.1,344.84
123,2,2.17,1.07
123,3,5.6,5.29
123,4,11.53,17.95
123,5,25.87,34.3
123,6,30.27,36.68
123,7,70.93,127.01
124,5,7.05,9.19
124,6,4.74,6.35
124,7,7.0,13.33
125,3,4.85,9.75
125,4,5.47,10.59
125,5,17.73,33.39
125,6,30.63,52.92
125,7,31.96,50.13
126,2,3.32,3.27
126,3,8.26,9.52
126,4,10.63,9.42
126,5,80.69,85.13
126,6,34.91,31.56
126,7,43.17,38.68
127,2,27.82,70.17
127,3,17.15,57.59
127,4,23.27,51.44
127,5,40.69,60.57
127,6,44.85,60.8
127,7,45.77,63.95
128,2,15.8,40.75
128,3,35.67,151.18
128,4,128.96,440.69
128,5,151.89,198.48
128,6,172.93,236.34
128,7,174.15,192.66
129,3,8.2,9.56
