districtid,timeid,statemean,statestdev
102,7,31.64,77.38
102,8,23.1,52.86
102,12,31.62,64.06
102,13,36.37,79.25
102,14,25.57,60.14
102,17,53.58,103.03
102,18,93.5,164.68
102,19,103.57,181.86
102,20,114.88,217.92
102,21,111.04,202.51
102,22,126.27,206.15
102,23,149.71,243.86
102,24,181.04,277.58
102,25,219.35,356.86
103,7,10.97,13.72
103,8,11.26,20.57
103,9,11.66,14.75
103,10,23.69,22.53
103,11,23.3,19.72
103,12,32.75,34.73
103,13,41.49,50.78
103,14,55.81,72.29
103,15,62.06,105.89
103,16,70.21,111.35
103,17,119.96,178.98
103,18,168.13,222.22
103,19,232.47,328.01
103,20,350.04,403.29
103,21,400.12,560.99
103,22,440.81,632.78
103,23,448.21,630.53
103,24,507.43,657.7
103,25,560.24,774.46
104,7,21.12,36.04
104,8,37.12,55.01
104,9,20.96,45.49
104,10,30.75,54.11
104,11,29.88,65.76
104,12,43.88,103.7
104,13,40.8,99.94
104,14,54.42,119.97
104,15,87.36,231.62
104,16,112.88,281.55
104,17,154.65,355.89
104,18,183.0,351.48
104,19,204.19,372.91
104,20,232.0,375.01
104,21,220.35,337.49
104,22,230.08,340.31
104,23,234.77,347.11
104,24,248.12,372.81
104,25,277.19,409.36
105,7,156.26,554.99
105,8,292.56,868.45
105,9,360.59,1074.87
105,10,546.8,1869.69
105,11,596.23,1793.18
105,12,570.71,1651.77
105,13,693.87,1854.39
105,14,783.0,1867.34
105,15,993.29,2325.0
105,16,1310.19,2933.58
105,17,1484.68,3210.12
105,18,1728.26,3595.37
105,19,2044.74,4273.2
105,20,2012.0,3726.39
105,21,2158.13,3533.44
105,22,2451.13,3472.04
105,23,2633.68,3918.48
105,24,2796.61,4201.09
105,25,3636.55,4955.41
106,7,31.53,63.41
106,8,36.17,70.77
106,9,41.93,75.99
106,10,61.19,72.11
106,11,63.82,75.3
106,12,63.81,90.58
106,13,67.79,105.36
106,14,68.85,90.71
106,15,68.07,92.72
106,16,80.11,82.43
106,17,128.83,170.51
106,18,142.07,202.9
106,19,200.72,306.55
106,20,241.86,322.67
106,21,248.45,282.93
106,22,262.93,284.19
106,23,283.93,341.06
106,24,307.21,421.93
106,25,338.31,456.64
107,7,155.74,555.13
107,8,289.74,869.21
107,9,357.79,1075.66
107,10,542.23,1870.85
107,11,590.83,1794.61
107,12,567.19,1652.69
107,13,687.97,1856.15
107,14,778.47,1868.98
107,15,988.26,2326.83
107,16,1308.45,2934.24
107,17,1486.65,3209.36
107,18,1736.06,3592.29
107,19,2087.1,4262.3
107,20,2078.97,3713.85
107,21,2255.19,3521.63
107,22,2570.26,3460.07
107,23,2736.42,3895.74
107,24,2906.45,4179.38
107,25,3759.26,4924.36
108,9,7.09,6.11
108,10,15.83,13.37
108,11,31.0,23.72
108,12,42.67,22.27
108,13,42.92,29.62
108,14,44.67,19.65
108,15,69.75,36.11
108,16,80.42,49.16
108,17,155.83,112.54
108,18,297.08,288.65
108,19,475.92,318.9
108,20,482.5,299.44
108,21,619.67,502.63
108,22,735.08,569.53
108,23,994.75,856.02
108,24,1111.42,675.38
108,25,969.83,573.18
109,7,14.38,27.48
109,8,14.59,32.75
109,9,12.46,16.04
109,10,23.45,22.28
109,11,23.39,19.74
109,12,33.1,34.93
109,13,41.69,50.92
109,14,56.0,72.42
109,15,61.32,105.81
109,16,69.62,111.18
109,17,119.41,178.95
109,18,167.16,222.39
109,19,231.19,328.23
109,20,348.41,403.6
109,21,395.59,561.14
109,22,436.16,633.25
109,23,441.72,630.83
109,24,499.13,656.75
109,25,552.91,772.37
110,11,86.11,109.12
110,12,117.89,163.49
110,13,139.89,197.56
110,14,137.53,235.08
110,15,166.5,239.73
110,16,236.78,387.31
110,17,380.78,624.25
110,18,587.47,933.76
110,19,842.11,1307.41
110,20,800.26,1269.83
110,21,949.84,1298.77
110,22,999.63,1209.84
110,23,1055.79,1149.62
110,24,975.79,1060.48
110,25,941.53,1050.51
111,16,36.16,71.14
111,17,53.67,102.99
111,18,93.23,164.8
111,19,102.96,182.06
111,20,113.88,218.26
111,21,110.73,202.65
111,22,125.37,206.46
111,23,148.35,244.34
111,24,178.47,278.42
111,25,216.69,357.7
112,9,5.75,3.27
112,10,12.33,18.06
112,11,38.92,45.91
112,12,43.83,45.0
112,13,40.08,49.51
112,14,41.18,37.68
112,15,37.58,30.94
112,16,23.83,30.37
112,17,26.25,35.56
112,18,77.18,97.12
112,19,136.0,185.4
112,20,120.33,134.11
112,21,161.58,171.54
112,22,206.92,273.16
112,23,215.33,218.43
112,24,324.75,331.98
112,25,431.33,408.51
113,7,33.76,63.07
113,8,37.78,70.55
113,9,43.04,75.78
113,10,61.89,71.72
113,11,65.36,74.58
113,12,63.73,90.61
113,13,63.64,103.6
113,14,66.63,90.89
113,15,65.34,92.23
113,16,76.04,79.52
113,17,118.48,158.87
113,18,133.62,191.12
113,19,178.31,259.03
113,20,212.52,252.55
113,21,230.97,247.34
113,22,258.69,278.91
113,23,275.76,330.77
113,24,294.1,411.92
113,25,329.38,450.82
114,7,9.88,12.56
114,8,18.13,23.19
114,9,12.41,18.1
114,11,37.33,89.54
114,12,95.19,214.81
114,13,129.0,308.19
114,14,160.62,311.02
114,15,150.67,292.42
114,16,146.29,256.24
114,17,185.57,244.57
114,18,220.38,280.9
114,19,219.1,278.58
114,20,229.33,294.24
114,21,223.38,240.92
114,22,243.86,205.15
114,23,301.43,207.09
114,24,407.0,230.56
114,25,547.52,358.21
115,9,12.54,16.02
115,10,23.84,22.6
115,11,23.36,19.74
115,12,33.36,34.92
115,13,42.47,50.94
115,14,57.32,72.39
115,15,62.68,105.69
115,16,71.19,111.15
115,17,121.51,178.45
115,18,169.4,221.57
115,19,234.1,327.23
115,20,351.96,402.34
115,21,401.62,560.38
115,22,441.81,632.38
115,23,448.99,630.19
115,24,509.71,656.7
115,25,565.93,772.77
116,8,14.74,32.73
116,9,12.46,16.04
116,10,23.91,22.61
116,11,22.37,17.84
116,12,32.75,34.73
116,13,42.43,50.96
116,14,56.78,72.61
116,15,62.54,105.76
116,16,71.24,111.13
116,17,121.26,178.6
116,18,169.22,221.69
116,19,233.78,327.43
116,20,351.94,402.35
116,21,401.32,560.53
116,22,440.96,632.73
116,23,448.93,630.21
116,24,508.49,657.3
116,25,563.85,773.72
117,7,156.07,555.04
117,8,291.33,868.81
117,9,360.31,1074.96
117,10,545.0,1870.19
117,11,595.53,1793.39
117,12,570.9,1651.71
117,13,693.84,1854.4
117,14,781.57,1867.9
117,15,992.48,2325.31
117,16,1311.42,2933.09
117,17,1488.16,3208.75
117,18,1731.97,3593.98
117,19,2082.42,4264.17
117,20,2072.06,3716.93
117,21,2243.58,3527.55
117,22,2557.84,3467.44
117,23,2719.48,3905.46
117,24,2892.48,4187.27
117,25,3751.16,4929.43
118,9,125.08,508.03
118,10,108.0,368.64
118,11,108.0,375.26
118,12,130.58,420.64
118,13,133.96,461.02
118,14,147.83,455.99
118,15,154.68,391.94
118,16,167.15,380.06
118,17,199.73,408.36
118,18,227.62,405.11
118,19,253.62,433.54
118,20,269.0,412.82
118,21,255.88,375.55
118,22,263.19,378.8
118,23,271.85,391.74
118,24,286.38,411.11
118,25,315.0,443.62
119,7,19.15,21.53
119,8,41.75,38.0
119,9,10.54,12.28
119,10,6.5,8.92
119,11,8.07,8.67
119,12,11.94,13.14
119,13,22.0,26.96
119,14,40.06,59.25
119,15,53.5,67.65
119,16,54.62,73.8
119,17,73.75,108.13
119,18,103.88,145.66
119,19,140.88,154.21
119,20,214.56,252.88
119,21,297.38,367.68
119,22,353.44,425.97
119,23,505.69,586.57
119,24,487.75,418.56
119,25,502.69,416.34
120,7,14.95,27.51
120,8,14.79,32.71
120,9,12.6,15.99
120,10,24.13,22.53
120,11,23.48,19.73
120,12,33.6,34.79
120,13,42.57,50.88
120,14,57.03,72.54
120,15,62.49,105.78
120,16,71.01,111.23
120,17,120.69,178.85
120,18,168.03,222.26
120,19,233.79,327.42
120,20,349.35,403.47
120,21,400.26,560.94
120,22,440.56,632.87
120,23,447.66,630.73
120,24,507.68,657.62
120,25,564.21,773.59
121,7,99.76,317.61
121,8,154.41,463.84
121,9,124.92,508.07
121,10,107.79,368.7
121,11,107.83,375.3
121,12,130.42,420.68
121,13,133.68,461.09
121,14,147.62,456.05
121,15,153.68,392.24
121,16,166.5,380.27
121,17,199.5,408.45
121,18,228.31,404.84
121,19,254.54,433.14
121,20,272.62,411.54
121,21,259.0,374.39
121,22,269.92,376.66
121,23,277.19,389.99
121,24,290.23,409.45
121,25,319.23,441.89
122,7,40.78,53.03
122,8,41.0,39.86
122,9,22.3,25.2
122,10,15.0,11.04
122,11,40.1,37.82
122,12,47.7,32.68
122,13,68.5,49.19
122,14,149.7,106.08
122,15,248.7,148.41
122,16,363.5,205.15
122,17,737.4,303.66
122,18,1425.7,809.27
122,19,3560.6,1657.24
122,20,4678.8,2430.04
122,21,5056.9,2040.71
122,22,5095.4,1965.59
122,23,4983.1,1813.25
122,24,5195.3,1707.93
122,25,5483.7,1724.8
123,7,6.43,6.3
123,8,8.1,7.13
123,9,19.36,26.89
123,10,19.27,23.0
123,11,39.86,30.49
123,12,47.07,29.26
123,13,58.13,61.87
123,14,37.73,35.37
123,15,44.4,54.09
123,16,50.6,61.03
123,17,87.4,124.16
123,18,138.07,235.95
123,19,200.0,280.73
123,20,189.33,309.19
123,21,178.27,221.63
123,22,187.0,205.41
123,23,201.87,256.1
123,24,233.0,305.04
123,25,327.87,495.66
124,16,13.0,15.81
124,22,30.06,31.09
124,23,25.41,34.0
124,24,30.86,41.53
124,25,46.86,72.49
