districtid,timeid,neighborhoodzscore,statezscore
102,2,-1.41,-0.82
102,3,-0.9,-0.42
102,4,-0.66,-0.42
102,5,-1.2,-0.47
102,6,-1.37,-0.52
102,7,-1.25,-0.51
103,2,0.0,20.27
103,3,0.04,0.16
103,4,-0.52,-0.08
103,5,5.27,-0.13
103,6,2.08,-0.05
103,7,2.05,-0.09
104,2,72.99,42.24
104,3,70.53,24.81
104,4,39.99,4.77
104,5,9.26,2.6
104,6,12.34,2.42
104,7,11.38,2.14
105,2,-1.11,-0.26
105,3,-0.76,-0.29
105,4,-0.81,-0.42
105,5,-0.57,0.01
105,6,-0.91,-0.29
105,7,-0.44,0.17
106,2,-0.45,-0.27
106,3,-0.42,-0.17
106,4,-0.78,-0.6
106,5,0.58,1.13
106,6,-0.24,0.07
106,7,0.52,1.1
107,2,0.6,-0.27
107,3,1.41,-0.29
107,4,0.72,-0.36
107,5,-0.03,-0.46
107,6,-1.12,-0.83
107,7,6.29,-0.58
108,3,1.41,0.4
108,4,0.17,-0.21
108,5,-1.74,-0.81
108,6,-0.1,0.46
108,7,-0.96,-0.47
109,2,0.44,-0.04
109,3,-0.02,0.42
109,4,0.21,0.73
109,5,0.7,0.07
109,6,2.42,0.61
109,7,1.07,0.18
110,3,0.0,-0.7
110,4,0.0,-0.53
110,5,0.0,-0.54
110,6,0.0,-0.6
110,7,0.0,-0.3
111,4,-1.4,-0.42
111,5,0.31,0.2
111,6,0.46,-0.14
111,7,0.58,0.0
112,3,0.91,0.4
112,4,8.41,0.73
112,5,-0.68,-0.55
112,6,-0.51,-0.82
112,7,-0.22,-0.65
113,2,-0.62,-0.36
113,3,-0.78,-0.55
113,4,0.3,0.75
113,5,0.74,1.13
113,6,0.72,1.48
113,7,0.55,1.22
114,2,0.0,-0.68
114,3,1.82,-0.28
114,4,0.81,-0.39
114,5,0.21,0.4
114,6,0.82,1.24
114,7,1.4,0.7
115,3,-3.55,-0.61
115,4,-1.23,-0.6
115,5,-1.37,-0.38
115,6,-0.72,-0.66
115,7,-1.42,-0.61
116,3,3.8,1.08
116,4,6.4,-0.27
116,5,-1.22,-0.38
